Time,GMP1_MEAS_CBIX,GMP1_MEAS_CBIY,GMP1_MEAS_CBIZ
1740905400.00,-0.572977306,-0.693323133,0.437036169
1740905430.00,-0.577586185,-0.684011401,0.445558395
1740905460.00,-0.58209602,-0.674567846,0.454005783
1740905490.00,-0.586502718,-0.665002391,0.462371333
1740905520.00,-0.590803036,-0.655316584,0.470650556
1740905550.00,-0.594998094,-0.645511231,0.47884455
1740905580.00,-0.599086747,-0.635589576,0.486950965
1740905610.00,-0.603068318,-0.625551709,0.494968806
1740905640.00,-0.606941616,-0.615400822,0.502895692
1740905670.00,-0.614546051,-0.604329774,0.507069464
1740905700.00,-0.621814645,-0.601543576,0.501489422
1740905730.00,-0.628699198,-0.599600335,0.495193654
1740905760.00,-0.635498146,-0.597675254,0.488800892
1740905790.00,-0.642212036,-0.59576721,0.482312244
1740905820.00,-0.648839807,-0.593876486,0.475728614
1740905850.00,-0.655379154,-0.592003705,0.469052797
1740905880.00,-0.661829363,-0.590148989,0.462283652
1740905910.00,-0.668189095,-0.588312925,0.455425219
1740905940.00,-0.674457316,-0.586495624,0.448476301
1740905970.00,-0.680632093,-0.584697553,0.441438806
1740906000.00,-0.686714091,-0.582918764,0.434315681
1740906030.00,-0.692700274,-0.581159867,0.427105721
1740906060.00,-0.698590695,-0.57942097,0.419812016
1740906090.00,-0.704384087,-0.577702445,0.412435287
1740906120.00,-0.710079466,-0.576004443,0.404976619
1740906150.00,-0.715675768,-0.574327435,0.397437796
1740906180.00,-0.721170674,-0.572671955,0.38982072
1740906210.00,-0.726564355,-0.571037935,0.382125276
1740906240.00,-0.731856438,-0.569425627,0.374354613
1740906270.00,-0.73704419,-0.567835654,0.366508326
1740906300.00,-0.742128017,-0.566267963,0.358589579
1740906330.00,-0.747107214,-0.564722805,0.350599265
1740906360.00,-0.751979509,-0.563200739,0.342537158
1740906390.00,-0.756744877,-0.561701839,0.334407323
1740906420.00,-0.761401958,-0.560226521,0.32621055
1740906450.00,-0.765951023,-0.558774684,0.317947056
1740906480.00,-0.770389598,-0.557346965,0.30961943
1740906510.00,-0.774717901,-0.55594342,0.301228812
1740906540.00,-0.778935452,-0.554564226,0.292777079
1740906570.00,-0.78304034,-0.553209903,0.284266226
1740906600.00,-0.787032455,-0.551880411,0.275697095
1740906630.00,-0.790910685,-0.550576139,0.267070663
1740906660.00,-0.794674811,-0.549297143,0.258388896
1740906690.00,-0.798323776,-0.548043819,0.249654729
1740906720.00,-0.801857459,-0.546816204,0.240868173
1740906750.00,-0.80527371,-0.545614861,0.232030967
1740906780.00,-0.808574353,-0.544439409,0.223146402
1740906810.00,-0.81175638,-0.543290645,0.214214212
1740906840.00,-0.814820534,-0.542168336,0.205236373
1740906870.00,-0.817765748,-0.541072864,0.196214854
1740906900.00,-0.82059104,-0.540004469,0.187151583
1740906930.00,-0.823296977,-0.53896316,0.178047616
1740906960.00,-0.825882577,-0.537949177,0.16890488
1740906990.00,-0.828347672,-0.536962626,0.159725377
1740907020.00,-0.830690311,-0.53600401,0.150509944
1740907050.00,-0.832912115,-0.535073024,0.141261722
1740907080.00,-0.835011041,-0.534170138,0.131980556
1740907110.00,-0.836987898,-0.533295281,0.12266953
1740907140.00,-0.838841618,-0.532448635,0.113329558
1740907170.00,-0.840572051,-0.531630479,0.103962643
1740907200.00,-0.842177972,-0.53084113,0.094571685
1740907230.00,-0.843661465,-0.530079955,0.085155902
1740907260.00,-0.845019145,-0.529348049,0.075718974
1740907290.00,-0.846252941,-0.52864491,0.066262105
1740907320.00,-0.847361704,-0.527970793,0.056787203
1740907350.00,-0.848346336,-0.527325676,0.047295368
1740907380.00,-0.849187028,-0.526738807,0.037785041
1740907410.00,-0.84993862,-0.526123449,0.028268527
1740907440.00,-0.850545952,-0.52556664,0.01873752
1740907470.00,-0.851028466,-0.525039091,0.009197584
1740907500.00,-0.851385206,-0.524541174,-0.000351373
1740907530.00,-0.851615907,-0.524072894,-0.009906343
1740907560.00,-0.851721315,-0.523634368,-0.019464252
1740907590.00,-0.851699538,-0.523225787,-0.029026255
1740907620.00,-0.851553088,-0.522846807,-0.038588102
1740907650.00,-0.851280202,-0.522497915,-0.048149952
1740907680.00,-0.850881501,-0.522178905,-0.057708718
1740907710.00,-0.85035691,-0.521889937,-0.067263441
1740907740.00,-0.849707081,-0.521630935,-0.076810898
1740907770.00,-0.848931178,-0.52140203,-0.086351312
1740907800.00,-0.848029846,-0.521203174,-0.095882548
1740907830.00,-0.84700303,-0.521034547,-0.105401643
1740907860.00,-0.845850551,-0.520896177,-0.114907474
1740907890.00,-0.844574184,-0.520787597,-0.124398948
1740907920.00,-0.843172774,-0.520709267,-0.133873164
1740907950.00,-0.841646431,-0.520661129,-0.143330086
1740907980.00,-0.839995709,-0.520643216,-0.15276564
1740908010.00,-0.833401906,-0.529272957,-0.159092725
1740908040.00,-0.826227824,-0.54074194,-0.157941489
1740908070.00,-0.818929192,-0.552110677,-0.1566169
1740908100.00,-0.81147836,-0.563378513,-0.155264845
1740908130.00,-0.80387874,-0.574542657,-0.153883876
1740908160.00,-0.798438457,-0.582339815,-0.152894973
1740908190.00,-0.798361329,-0.582447888,-0.152881177
1740908220.00,-0.798361748,-0.582448467,-0.152881115
1740908250.00,-0.798361945,-0.582448084,-0.152881007
1740908280.00,-0.798361986,-0.582447673,-0.152880839
1740908310.00,-0.798361537,-0.582448427,-0.152881869
1740908340.00,-0.79836159,-0.582448064,-0.15288175
1740908370.00,-0.798361812,-0.582447653,-0.152881687
1740908400.00,-0.798362111,-0.582448271,-0.15288162
1740908430.00,-0.798361384,-0.582448144,-0.152881616
1740908460.00,-0.79836147,-0.582447765,-0.152881457
1740908490.00,-0.798361857,-0.582448359,-0.152881442
1740908520.00,-0.798362053,-0.582448017,-0.152881342
1740908550.00,-0.798361263,-0.582447884,-0.152881291
1740908580.00,-0.798361697,-0.582448478,-0.152881277
1740908610.00,-0.79836189,-0.582448169,-0.152881188
1740908640.00,-0.798362018,-0.582447774,-0.152881077
1740908670.00,-0.798361581,-0.582448662,-0.152881135
1740908700.00,-0.798361728,-0.582448327,-0.152880993
1740908730.00,-0.798361878,-0.582447986,-0.152880934
1740908760.00,-0.798361234,-0.582447917,-0.152880951
1740908790.00,-0.798361629,-0.582448523,-0.152880898
1740908820.00,-0.798361952,-0.5824481,-0.152881803
1740908850.00,-0.798361261,-0.582448041,-0.152881815
1740908880.00,-0.798361678,-0.582448665,-0.152881767
1740908910.00,-0.804058347,-0.574277695,-0.15393323
1740908940.00,-0.811570773,-0.563231658,-0.155318178
1740908970.00,-0.818935882,-0.552084235,-0.156676179
1740909000.00,-0.826153052,-0.540836619,-0.158006247
1740909030.00,-0.833263982,-0.529494206,-0.159082399
1740909060.00,-0.838977912,-0.522956416,-0.15043894
1740909090.00,-0.840540375,-0.523064143,-0.141052605
1740909120.00,-0.841949325,-0.523251615,-0.131641524
1740909150.00,-0.84323418,-0.523469368,-0.122212215
1740909180.00,-0.844395246,-0.523717213,-0.112767631
1740909210.00,-0.845432453,-0.5239951,-0.103308768
1740909240.00,-0.846346021,-0.524302786,-0.09383753
1740909270.00,-0.847134081,-0.524640665,-0.084355128
1740909300.00,-0.847798728,-0.525008123,-0.07486336
1740909330.00,-0.848337196,-0.525405671,-0.065364473
1740909360.00,-0.848751578,-0.525832695,-0.055860267
1740909390.00,-0.849041867,-0.526289172,-0.04635073
1740909420.00,-0.849205534,-0.526775464,-0.036840111
1740909450.00,-0.84924541,-0.527290822,-0.027329101
1740909480.00,-0.849159697,-0.527835591,-0.017818875
1740909510.00,-0.848949518,-0.528409381,-0.008311321
1740909540.00,-0.848613079,-0.529012481,0.001191401
1740909570.00,-0.848152469,-0.529644279,0.010687494
1740909600.00,-0.847566789,-0.530304861,0.020175845
1740909630.00,-0.847598259,-0.530294681,0.019088321
1740909660.00,-0.84808919,-0.529767713,0.009548578
1740909690.00,-0.848457144,-0.529264879,6.03E-07
1740909720.00,-0.848698814,-0.528791053,-0.009553151
1740909750.00,-0.848814207,-0.528346412,-0.019110621
1740909780.00,-0.848803141,-0.527930901,-0.028671835
1740909810.00,-0.848666519,-0.527544373,-0.038233685
1740909840.00,-0.848404185,-0.527187043,-0.047795184
1740909870.00,-0.84801597,-0.526858931,-0.057354329
1740909900.00,-0.847500563,-0.526560365,-0.066908211
1740909930.00,-0.846860101,-0.526291014,-0.076456642
1740909960.00,-0.846094239,-0.526050838,-0.085997596
1740909990.00,-0.845201846,-0.525840397,-0.095528216
1740910020.00,-0.844184947,-0.525659075,-0.105048319
1740910050.00,-0.843041287,-0.525507555,-0.114554973
1740910080.00,-0.841773591,-0.525385208,-0.124047072
1740910110.00,-0.840380932,-0.525292289,-0.133523509
1740910140.00,-0.83886294,-0.525229043,-0.142980499
1740910170.00,-0.837220702,-0.525195165,-0.152417792
1740910200.00,-0.835454783,-0.525190662,-0.16183329
1740910230.00,-0.833564439,-0.525215695,-0.171226233
1740910260.00,-0.832341294,-0.523957478,-0.18076617
1740910290.00,-0.838060126,-0.512478755,-0.187137304
1740910320.00,-0.844708861,-0.500900528,-0.188590876
1740910350.00,-0.851148544,-0.489231816,-0.190260017
1740910380.00,-0.857497075,-0.477474698,-0.191615003
1740910410.00,-0.863628359,-0.465631464,-0.193218753
1740910440.00,-0.869668099,-0.453704297,-0.194502582
1740910470.00,-0.875484653,-0.441695047,-0.196039827
1740910500.00,-0.881210139,-0.429606149,-0.197250471
1740910530.00,-0.886709109,-0.417440729,-0.198721126
1740910560.00,-0.892116048,-0.405198343,-0.199856425
1740910590.00,-0.89729417,-0.392884625,-0.201259225
1740910620.00,-0.902378637,-0.380498679,-0.202320015
1740910650.00,-0.904990946,-0.373801749,-0.203134188
1740910680.00,-0.905013683,-0.373804972,-0.203025845
1740910710.00,-0.904930871,-0.373901798,-0.203218406
1740910740.00,-0.904937006,-0.373947059,-0.203106138
1740910770.00,-0.904854267,-0.37404384,-0.203298686
1740910800.00,-0.904860329,-0.37408917,-0.203185426
1740910830.00,-0.904777234,-0.374184954,-0.203377962
1740910860.00,-0.904250841,-0.375610332,-0.203093096
1740910890.00,-0.899191858,-0.388157219,-0.201960141
1740910920.00,-0.893967419,-0.40063081,-0.200790408
1740910950.00,-0.888577625,-0.413032029,-0.199583968
1740910980.00,-0.88302459,-0.425356295,-0.1983412
1740911010.00,-0.87730905,-0.437602393,-0.197061023
1740911040.00,-0.871431774,-0.449767981,-0.195745252
1740911070.00,-0.865393085,-0.461850857,-0.194392623
1740911100.00,-0.85919572,-0.473848404,-0.193004802
1740911130.00,-0.852840269,-0.485758291,-0.191581629
1740911160.00,-0.846326196,-0.497578603,-0.190122838
1740911190.00,-0.839657248,-0.509307475,-0.188628156
1740911220.00,-0.83296267,-0.52094143,-0.18652954
1740911250.00,-0.831196172,-0.527264242,-0.176368334
1740911280.00,-0.833040423,-0.52739363,-0.167034401
1740911310.00,-0.834785427,-0.527513188,-0.157680361
1740911340.00,-0.836407949,-0.527662299,-0.148304654
1740911370.00,-0.837907074,-0.527840916,-0.138908331
1740911400.00,-0.839282889,-0.528049113,-0.129492397
1740911430.00,-0.840534703,-0.528286709,-0.120059909
1740911460.00,-0.841663347,-0.528553583,-0.110610794
1740911490.00,-0.84266628,-0.528850064,-0.101149172
1740911520.00,-0.843545356,-0.529175738,-0.091674026
1740911550.00,-0.844299811,-0.529530513,-0.082189289
1740911580.00,-0.844929899,-0.529914301,-0.07269598
1740911610.00,-0.845434642,-0.530327325,-0.063195184
1740911640.00,-0.845814239,-0.530769188,-0.05368986
1740911670.00,-0.846068692,-0.531239944,-0.044180005
1740911700.00,-0.846198213,-0.531739311,-0.034669593
1740911730.00,-0.846202902,-0.532267345,-0.025157649
1740911760.00,-0.84608206,-0.532823833,-0.015649141
1740911790.00,-0.845835609,-0.533408853,-0.006143109
1740911820.00,-0.845463612,-0.534022297,0.003358496
1740911850.00,-0.844967429,-0.534663611,0.012852735
1740911880.00,-0.844346146,-0.535332905,0.022337565
1740911910.00,-0.843599673,-0.536030159,0.03181299
1740911940.00,-0.849545136,-0.52602603,0.03961351
1740911970.00,-0.856451719,-0.514596184,0.04100392
1740912000.00,-0.863194247,-0.503080465,0.042490684
1740912030.00,-0.869799461,-0.491460082,0.043778573
1740912060.00,-0.876229029,-0.479765835,0.045249599
1740912090.00,-0.88251952,-0.467970134,0.046517397
1740912120.00,-0.888631852,-0.456104342,0.047972953
1740912150.00,-0.894603545,-0.444142293,0.049220747
1740912180.00,-0.900394582,-0.432114001,0.050659896
1740912210.00,-0.906042447,-0.419993738,0.05188488
1740912240.00,-0.911508318,-0.407812848,0.053306771
1740912270.00,-0.916828935,-0.395542175,0.054510131
1740912300.00,-0.921964673,-0.383216749,0.055912838
1740912330.00,-0.926954326,-0.370805556,0.057092787
1740912360.00,-0.9317565,-0.358343359,0.058475586
1740912390.00,-0.936411334,-0.345801616,0.059631069
1740912420.00,-0.940877274,-0.333212327,0.060994206
1740912450.00,-0.945192958,-0.320548037,0.0621255
1740912480.00,-0.949318593,-0.30784065,0.063466041
1740912510.00,-0.951207896,-0.301862142,0.063907475
1740912540.00,-0.95119559,-0.301882747,0.06398464
1740912570.00,-0.951173197,-0.301985229,0.063828327
1740912600.00,-0.951152816,-0.302033097,0.063903082
1740912630.00,-0.95113071,-0.302136522,0.063745765
1740912660.00,-0.951110329,-0.302184378,0.06382046
1740912690.00,-0.951088803,-0.302286717,0.063664302
1740912720.00,-0.951068724,-0.30233552,0.063738985
1740912750.00,-0.951046268,-0.302437966,0.06358171
1740912780.00,-0.951025891,-0.302485821,0.063656406
1740912810.00,-0.951003554,-0.302589306,0.063500157
1740912840.00,-0.947232145,-0.314427851,0.062336376
1740912870.00,-0.94296341,-0.32725163,0.061036384
1740912900.00,-0.938521573,-0.340016121,0.059724615
1740912930.00,-0.933905338,-0.352716624,0.058403361
1740912960.00,-0.929118144,-0.365353202,0.057070937
1740912990.00,-0.924158893,-0.377922005,0.055728468
1740913020.00,-0.91902912,-0.390420691,0.054377259
1740913050.00,-0.913730057,-0.402848893,0.053015362
1740913080.00,-0.908262312,-0.415201313,0.051644324
1740913110.00,-0.902627047,-0.427477686,0.050264174
1740913140.00,-0.896825628,-0.439675652,0.048875229
1740913170.00,-0.890858471,-0.451792011,0.047477722
1740913200.00,-0.884727403,-0.463825303,0.046071882
1740913230.00,-0.878433787,-0.475773159,0.044658017
1740913260.00,-0.871977292,-0.487633573,0.043236226
1740913290.00,-0.865359523,-0.499404115,0.04180679
1740913320.00,-0.858582745,-0.511082222,0.040371053
1740913350.00,-0.851647971,-0.522666603,0.038927249
1740913380.00,-0.844671336,-0.534062412,0.036164752
1740913410.00,-0.842023379,-0.538815242,0.025980189
1740913440.00,-0.842601135,-0.538287252,0.016444784
1740913470.00,-0.843070777,-0.53775843,0.006904327
1740913500.00,-0.843414164,-0.537257336,-0.002644361
1740913530.00,-0.84363211,-0.536783818,-0.012199225
1740913560.00,-0.84372251,-0.536338379,-0.021757452
1740913590.00,-0.843687,-0.535920831,-0.031317859
1740913620.00,-0.843525749,-0.535531098,-0.040879428
1740913650.00,-0.843237532,-0.535169465,-0.050440291
1740913680.00,-0.842823101,-0.534835939,-0.059997243
1740913710.00,-0.842282356,-0.534530492,-0.069550448
1740913740.00,-0.841616233,-0.534253111,-0.079096686
1740913770.00,-0.84082357,-0.534003932,-0.088635076
1740913800.00,-0.839905041,-0.533783094,-0.098162552
1740913830.00,-0.838859833,-0.533590623,-0.107679215
1740913860.00,-0.837690635,-0.533426059,-0.117182686
1740913890.00,-0.83639524,-0.533289926,-0.126671303
1740913920.00,-0.834974662,-0.533182063,-0.136142846
1740913950.00,-0.83342857,-0.533102722,-0.145595374
1740913980.00,-0.831759004,-0.533051323,-0.155027686
1740914010.00,-0.829964654,-0.533028334,-0.164437923
1740914040.00,-0.828046618,-0.533033526,-0.173824866
1740914070.00,-0.826004458,-0.533067081,-0.183185679
1740914100.00,-0.823838375,-0.533128912,-0.192520228
1740914130.00,-0.821549823,-0.533218907,-0.201824388
1740914160.00,-0.81913906,-0.53333697,-0.211099203
1740914190.00,-0.816606659,-0.533483082,-0.220341445
1740914220.00,-0.82044452,-0.523818557,-0.229096334
1740914250.00,-0.826997989,-0.512335651,-0.23148588
1740914280.00,-0.833527855,-0.500754976,-0.23340177
1740914310.00,-0.839814874,-0.489087281,-0.235591569
1740914340.00,-0.846044256,-0.477327748,-0.23742017
1740914370.00,-0.852026403,-0.465485893,-0.239528344
1740914400.00,-0.857948097,-0.453557338,-0.241266814
1740914430.00,-0.85876067,-0.45175675,-0.24175708
1740914460.00,-0.858773785,-0.451797626,-0.241632469
1740914490.00,-0.858670197,-0.451887743,-0.241834317
1740914520.00,-0.858681854,-0.451931999,-0.241709996
1740914550.00,-0.858577292,-0.452022351,-0.241910929
1740914580.00,-0.858589002,-0.45206656,-0.241786671
1740914610.00,-0.858485084,-0.452155743,-0.241987463
1740914640.00,-0.85849675,-0.452200006,-0.241863147
1740914670.00,-0.85839312,-0.45229012,-0.242063984
1740914700.00,-0.858404857,-0.452334389,-0.2419397
1740914730.00,-0.858301031,-0.45242447,-0.242140533
1740914760.00,-0.858312771,-0.452468741,-0.242016252
1740914790.00,-0.858207967,-0.452559036,-0.242217085
1740914820.00,-0.853163344,-0.462847029,-0.240593497
1740914850.00,-0.847079798,-0.474835053,-0.238719137
1740914880.00,-0.840841031,-0.48673608,-0.236800789
1740914910.00,-0.834447129,-0.498546942,-0.234838211
1740914940.00,-0.827899084,-0.510266321,-0.232833105
1740914970.00,-0.821198542,-0.521891789,-0.230785403
1740915000.00,-0.81554262,-0.533369277,-0.224517325
1740915030.00,-0.816957429,-0.535116376,-0.215012996
1740915060.00,-0.819325665,-0.535118658,-0.205799829
1740915090.00,-0.821574942,-0.535145874,-0.196556077
1740915120.00,-0.82370196,-0.535201748,-0.187283067
1740915150.00,-0.825706904,-0.535286097,-0.177982958
1740915180.00,-0.827588955,-0.535399018,-0.168656706
1740915210.00,-0.829348044,-0.535540526,-0.159305321
1740915240.00,-0.830984421,-0.535710254,-0.149931789
1740915270.00,-0.832497304,-0.53590833,-0.140538199
1740915300.00,-0.833885696,-0.536134886,-0.131124548
1740915330.00,-0.835150861,-0.5363896,-0.121693798
1740915360.00,-0.836291733,-0.536672424,-0.112246967
1740915390.00,-0.837307562,-0.536983489,-0.102786141
1740915420.00,-0.83819856,-0.537322668,-0.093313366
1740915450.00,-0.838965601,-0.537689539,-0.083830415
1740915480.00,-0.839606996,-0.53808454,-0.074337463
1740915510.00,-0.840122934,-0.538507404,-0.06483762
1740915540.00,-0.840513401,-0.538957947,-0.055332715
1740915570.00,-0.840778455,-0.53943612,-0.045823794
1740915600.00,-0.84091946,-0.539941466,-0.036313732
1740915630.00,-0.840933404,-0.540474633,-0.026802826
1740915660.00,-0.840822443,-0.541034955,-0.017292804
1740915690.00,-0.840585575,-0.541622479,-0.007786759
1740915720.00,-0.840224092,-0.542236879,0.001714415
1740915750.00,-0.839736916,-0.542878284,0.011209633
1740915780.00,-0.839124426,-0.543546408,0.020695899
1740915810.00,-0.838385701,-0.544241394,0.030171223
1740915840.00,-0.837522684,-0.544962747,0.039635724
1740915870.00,-0.836535587,-0.545710259,0.049086465
1740915900.00,-0.835422442,-0.546484242,0.05852226
1740915930.00,-0.834184527,-0.547284323,0.067941245
1740915960.00,-0.832822942,-0.548110033,0.077340471
1740915990.00,-0.831336626,-0.548961637,0.086719934
1740916020.00,-0.829726853,-0.54983872,0.096077729
1740916050.00,-0.827993667,-0.550741019,0.105410807
1740916080.00,-0.826136252,-0.551668793,0.114719213
1740916110.00,-0.824156603,-0.552621365,0.124000064
1740916140.00,-0.822053881,-0.553598761,0.133252306
1740916170.00,-0.819829367,-0.554600721,0.142473071
1740916200.00,-0.817481912,-0.555627295,0.151662206
1740916230.00,-0.815013753,-0.556677997,0.160818024
1740916260.00,-0.812424941,-0.557752473,0.169937462
1740916290.00,-0.809714582,-0.558851069,0.179020475
1740916320.00,-0.806884908,-0.559973038,0.188064231
1740916350.00,-0.803934819,-0.561118464,0.197066743
1740916380.00,-0.800865564,-0.562287091,0.206027973
1740916410.00,-0.797678284,-0.563478471,0.21494517
1740916440.00,-0.794372914,-0.564692616,0.223817273
1740916470.00,-0.790950623,-0.565929011,0.232642394
1740916500.00,-0.787410588,-0.567187831,0.241418438
1740916530.00,-0.783754775,-0.568468551,0.250144718
1740916560.00,-0.779983391,-0.569770964,0.258819072
1740916590.00,-0.776097498,-0.571094687,0.267439729
1740916620.00,-0.772097178,-0.572439716,0.276005634
1740916650.00,-0.767983514,-0.573805637,0.284515008
1740916680.00,-0.763756581,-0.575192422,0.292966712
1740916710.00,-0.759418477,-0.576599361,0.30135903
1740916740.00,-0.754969326,-0.578026387,0.309689958
1740916770.00,-0.750409111,-0.579473482,0.317958457
1740916800.00,-0.745739168,-0.580940073,0.326161739
1740916830.00,-0.740961291,-0.582425865,0.334300927
1740916860.00,-0.736074681,-0.583930801,0.342371942
1740916890.00,-0.731081473,-0.585454395,0.350375004
1740916920.00,-0.725982688,-0.586996362,0.358308166
1740916950.00,-0.720778342,-0.588556479,0.366169483
1740916980.00,-0.715469602,-0.59013451,0.373959065
1740917010.00,-0.710057525,-0.59173002,0.381672975
1740917040.00,-0.7045432,-0.593342794,0.389312352
1740917070.00,-0.698927778,-0.594972367,0.396873282
1740917100.00,-0.693211098,-0.596618781,0.404356694
1740917130.00,-0.687395476,-0.598281413,0.41175993
1740917160.00,-0.6814817,-0.599960064,0.419082976
1740917190.00,-0.67547114,-0.601654252,0.426322998
1740917220.00,-0.66936464,-0.603363745,0.433479033
1740917250.00,-0.663162467,-0.60508837,0.440550108
1740917280.00,-0.656866481,-0.60682768,0.447534438
1740917310.00,-0.650477705,-0.60858136,0.454432072
1740917340.00,-0.643996563,-0.610349205,0.461240077
1740917370.00,-0.637425759,-0.612130596,0.467957713
